Date,Open,High,Low,Close,Adj Close,Volume
18-Jul-24,975,"1,075.00",975,"1,050.00","1,050.00","10,313,000"
17-Jul-24,865,980,865,975,975,"4,432,100"
16-Jul-24,855,860,835,860,860,"247,900"
15-Jul-24,845,865,845,850,850,"62,200"
12-Jul-24,850,865,850,860,860,"38,200"
11-Jul-24,875,875,850,850,850,"183,900"
10-Jul-24,860,890,850,860,860,"254,700"
9-Jul-24,865,880,840,860,860,"158,700"
8-Jul-24,855,865,825,860,860,"924,100"
5-Jul-24,880,880,860,860,860,"245,800"
4-Jul-24,885,890,860,880,880,"708,300"
3-Jul-24,880,895,865,880,880,"584,400"
2-Jul-24,895,895,860,870,870,"649,500"
1-Jul-24,920,920,885,890,890,"689,700"
28-Jun-24,920,925,895,920,920,"1,208,200"
27-Jun-24,920,925,885,920,920,"1,666,700"
26-Jun-24,840,920,835,920,920,"2,224,800"
25-Jun-24,860,860,820,825,825,"211,000"
24-Jun-24,820,860,805,860,860,"462,300"
21-Jun-24,860,900,820,820,820,"4,264,200"
20-Jun-24,735,855,735,855,855,"2,755,500"
19-Jun-24,725,745,720,730,730,"168,200"
14-Jun-24,750,750,725,725,725,"426,800"
13-Jun-24,765,765,745,750,750,"168,500"
12-Jun-24,755,760,745,760,760,"348,500"
11-Jun-24,740,765,725,755,755,"787,000"
10-Jun-24,740,750,720,725,725,"1,111,500"
7-Jun-24,725,745,710,740,740,"752,100"
6-Jun-24,735,745,715,720,720,"633,400"
5-Jun-24,775,775,735,735,735,"693,700"
4-Jun-24,760,780,755,765,765,"326,500"
3-Jun-24,760,785,750,760,760,"770,800"
31-May-24,800,830,760,765,765,"1,091,300"
30-May-24,830,835,785,800,800,"1,851,600"
29-May-24,860,860,820,820,820,"380,000"
28-May-24,840,860,825,835,835,"634,900"
27-May-24,855,855,830,840,840,"902,000"
22-May-24,850,865,840,855,855,"456,400"
21-May-24,855,860,835,840,840,"707,000"
20-May-24,850,890,840,865,865,"1,043,400"
17-May-24,870,870,845,850,850,"520,800"
