Date,Open,High,Low,Close,Adj Close,Volume
9-Jan-24,"1,230.00","1,240.00","1,165.00","1,175.00","1,127.83","98,033,700"
8-Jan-24,"1,280.00","1,310.00","1,215.00","1,230.00","1,180.62","114,174,100"
5-Jan-24,"1,295.00","1,300.00","1,275.00","1,280.00","1,228.61","52,058,100"
4-Jan-24,"1,285.00","1,310.00","1,270.00","1,285.00","1,233.41","56,403,100"
3-Jan-24,"1,265.00","1,300.00","1,255.00","1,280.00","1,228.61","93,216,000"
2-Jan-24,"1,170.00","1,265.00","1,170.00","1,265.00","1,214.22","95,095,400"
29-Dec-23,"1,185.00","1,195.00","1,160.00","1,170.00","1,123.03","26,568,800"
28-Dec-23,"1,215.00","1,215.00","1,180.00","1,185.00","1,137.43","29,330,300"
27-Dec-23,"1,190.00","1,230.00","1,190.00","1,195.00","1,147.03","38,373,200"
22-Dec-23,"1,225.00","1,235.00","1,190.00","1,190.00","1,142.23","27,128,500"
21-Dec-23,"1,220.00","1,235.00","1,190.00","1,225.00","1,175.82","51,616,700"
20-Dec-23,"1,260.00","1,265.00","1,210.00","1,225.00","1,175.82","90,607,100"
19-Dec-23,"1,190.00","1,255.00","1,190.00","1,230.00","1,180.62","115,774,600"
18-Dec-23,"1,310.00","1,345.00","1,175.00","1,200.00","1,151.82","221,895,700"
15-Dec-23,"1,250.00","1,325.00","1,235.00","1,305.00","1,252.61","193,923,200"
14-Dec-23,"1,240.00","1,275.00","1,195.00","1,245.00","1,195.02","362,457,600"
13-Dec-23,"1,080.00","1,275.00","1,080.00","1,225.00","1,175.82","696,448,900"
12-Dec-23,"1,120.00","1,140.00","1,030.00","1,075.00","1,031.84","190,367,100"
11-Dec-23,"1,170.00","1,210.00","1,105.00","1,115.00","1,070.24","160,530,500"
